barcode,description
8410184077118,ARROZ BRILLANTE 1K
8410014020277,27.COLA.C.SOBRE
8434165599901,01.FLAKES.NOCILLA
8412666504006,LA BARACA CRISTAL PEREJIL 10G
8412666484001,LA BARACA CRISTAL OREGANO 8G
8412666344008,LA BARACA CRISTAL GUINDILLAS PIEZA
8412666224003,03.ENELDO.LABARACA.13G
8412666204005,LA BARACA CRISTAL COMINO MOLD 32G
8412666184000,LA BARACA CRISTAL COLORANTE
8412666164002,LA BARACA CRISTAL CLAVO GRANO 24G
8412666114007,LA BARACA CRISTAL CANELA RAMA
8412666044007,LA BARACA CRISTAL AJO GRANULADO 50G
5059319026176,CER KELLOGG SPEC 325 CHOC
5059319024226,KELLOGG SPEC K 335 CHO LECH
5059319023441,KELLOGG CHOCO KRISPIES330G
8010265640202,KELLOGG CORN FLAKES 375G
8437001918027,27.CARBON.2.8KG
8480012019788,PALO IFA 140CM ME
8718951439580,80.COLGATE.TRIPLE.A.CTION.75ML
8718951477896,96.COLGATEL.HERBAL.75M
8718951558892,92.COLGATE.MAXI.CAR.PRO.75ML
5410076960651,51.ORAL.BCOMPLETE.75ML
8714789177229,CEP DENTAL COLGATE 4X1 EXT CLEAN
8480012026281,CEPILLO DEN IFA PREDURO P/2
8480012026267,CEPILLO DEN IFA PRE SUAVE P/2
8480012026274,CEPILLO DEN IFA PREMEDIO P/2
8480012005620,MAQ AFEIT IFA 2H BASC P 5 MUJER
7702018621293,93.GILLETTE.ESPOMA.FOAM.200P/S
7702018621255,55.GEL GILLETTE 200ML P/ S
8720181460173,73.GEL.DOVE.HIDRA.400ML
8410225505198,GEL NELIA 750ML ORIGINAL HIDRA
8008970056296,09.GALLETA.ELGORRIAGA.CHOCO.240G
8410255917725,09.GALLETA.ELGORRIAGA.FRESA.240G
8718951632790,GEL SANEX 600ML CUD EX
8718951389342,GEL SANEX 600ML PRO HIDRA
8718951603301,01.PALMOLIVE.OLIVA.600ML
8718951603349,49.PALMOLIVE.NUTRITIVO.600ML
8718951603509,09.PALMOLIVE.SENSIBLE.600ML
8720181460074,74.GEL.DOVE.ARGAN.400ML
8480012004852,52.TOLLITAS.DESMAQUI.25U.IFA
8480012020043,43.FERGONA.IFA.TRENZADO
8480012020050,50.FERGONA.IFA.TIRA
7702018490240,HOJA MAQ GILLETTE SENSOR3 P/4U
3014260294625,25.GILLETTE.BLU.II.PLUS
8480012019887,ESCOBA IFA MEDIANA COMUN
8480012019894,RECOGEDOR ANTIVUELCO IFA
3384121523035,ESTROPAJO SPONTEX INOX 2+1
8480012019955,ESTROPAJO IFA INOXIDABLE 2U
8718951463899,DEO E CONTROL DUBLO SENEX 50
8718951463387,87.DEO.SANEX.SENSITIVE.50ML
8718951463295,95.DEO.SANEX.INVISIBLE.50ML
8718951463929,29.DEO.SANEX.NATUR.PROTECT.50ML
8410087041230,PALMERA BANDEJA 10U 40P 113G
8410087080499,99.PANDORINO.3U.135G
8426617014032,32.HARIBO.FAVORITO.ZAUCAR.90G
8426617013356,56.HARIBO.FAVORITO.CLASIC.90G
8426617003289,89.HARIBO.FRESONES.100G
8426617014087,87.HARIBO.FUNKY.MIX.100G
8426617002510,10.HARIBRO.OSITOS.ORO.100G
8426617011482,82.HARIBRO.OSITOS.ORO.AZUCAR.00G
8426617003913,55.HARIBRO.STARMIX.100G
8426617014223,23.HARIBRO.TEEN.PIKA.90G
8426617013455,55.HARIBRO.STARMIX.100G
5410358455691,HARIBRO ESPOMA DULCE 90G
